12,Nevada,Mountain West,11.73,150,&nbsp;,12,12,12,12,12,9,12,12,12,12,12,12,10,12,12,12,12,12,12,8,12,11,12,12,12,11,12,12,12,12,Nevada
12,NC-Wilmington,Colonial,11.91,150,&nbsp;,12,12,12,12,12,12,12,12,12,12,12,12,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,NC-Wilmington
12,Princeton,Ivy,12.73,150,&nbsp;,13,13,12,13,13,13,13,13,13,12,12,13,13,12,13,13,13,13,13,13,12,13,12,12,13,12,12,13,13,13,Princeton
13,Vermont,America East,12.38,150,&nbsp;,12,12,13,12,12,12,12,12,13,13,13,12,12,13,13,12,13,12,12,13,13,13,13,13,12,13,13,12,12,12,Vermont
13,E. Tennessee State,Southern,13.05,150,&nbsp;,13,13,13,13,13,13,13,13,13,13,13,13,13,13,12,13,13,13,13,13,13,12,13,13,13,13,13,13,13,13,E. Tennessee State
13,Bucknell,Patriot,13.06,150,&nbsp;,13,13,13,13,13,13,13,13,12,13,13,13,13,13,14,13,12,13,13,14,13,13,13,13,13,13,13,13,13,13,Bucknell
13,Winthrop,Big South,13.55,150,&nbsp;,13,14,14,13,14,13,13,13,13,14,14,14,14,14,13,14,14,14,14,14,13,14,14,14,13,14,14,13,14,13,Winthrop
14,New Mexico State,WAC,13.39,150,&nbsp;,14,13,13,14,14,14,14,14,14,13,13,13,13,13,13,13,14,13,13,12,14,13,13,13,14,13,13,14,13,14,New Mexico State
14,Florida Gulf Coast,Atlantic Sun,13.95,150,&nbsp;,14,14,14,14,15,14,14,14,14,14,14,14,14,14,14,14,13,14,14,14,14,14,14,14,14,14,14,14,14,14,Florida Gulf Coast
14,Iona,Metro Atlantic,14.01,150,&nbsp;,14,14,14,14,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,14,14,14,14,14,14,14,14,14,14,Iona
14,Kent State,MAC,14.85,150,&nbsp;,15,15,15,15,14,15,14,15,15,15,14,15,15,15,14,15,14,15,15,14,15,15,15,15,15,15,15,15,15,15,Kent State
15,Northern Kentucky,Horizon,14.20,150,&nbsp;,14,15,14,14,14,14,15,14,14,14,15,14,14,14,15,14,15,14,14,13,14,14,14,14,14,14,14,14,14,14,Northern Kentucky
15,North Dakota,Big Sky,15.15,150,&nbsp;,15,15,15,15,16,16,15,15,16,15,15,16,15,15,15,15,16,15,15,15,15,15,15,15,15,15,15,15,15,15,North Dakota
15,Troy,Sun Belt,15.41,150,&nbsp;,15,14,16,15,15,16,16,16,15,15,16,15,16,15,16,16,16,16,16,16,15,15,15,16,16,15,16,16,15,15,Troy
15,Jacksonville State,Ohio Valley,15.64,150,&nbsp;,16,16,15,15,16,16,16,16,16,16,16,16,15,15,15,16,16,16,15,16,16,16,16,15,16,15,16,15,15,16,Jacksonville State
16,Texas Southern,SWAC,15.21,150,&nbsp;,16,15,15,16,16,15,15,15,15,15,15,15,15,16,15,15,15,15,15,15,15,15,16,15,15,16,15,15,16,15,Texas Southern
16,South Dakota State,Summit,15.82,150,&nbsp;,15,16,16,16,15,16,16,16,15,16,16,15,16,16,16,16,15,16,16,16,16,16,15,16,16,16,16,16,16,16,South Dakota State
16,North Carolina Central,Mid-Eastern,15.83,150,&nbsp;,16,16,16,16,15,16,16,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,North Carolina Central
16,UC Davis,Big West,15.89,150,&nbsp;,16,16,16,16,16,15,15,16,16,16,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,UC Davis
16,New Orleans,Southland,15.91,150,&nbsp;,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,16,15,16,16,16,16,16,16,15,16,16,16,New Orleans
16,Mount St. Mary's,Northeast,15.94,150,&nbsp;,16,16,16,16,16,15,16,16,16,16,16,16,16,16,16,15,16,16,16,16,16,16,16,16,15,16,16,16,16,16,Mount St. Mary's
